ensemblID	sample_01	sample_10	sample_02	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_03	sample_30	sample_04	sample_41	sample_42	sample_43	sample_44	sample_46	sample_47	sample_48	sample_49	sample_05	sample_50	sample_06	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_07	sample_70	sample_08	sample_09
ENSG00000000003	2.643794704154163	2.4005676288323614	2.306522456542907	2.700464715647869	2.3913476528646527	2.6514189846096246	2.720235584908887	2.9548960181994075	2.6375359242369285	2.74961615218278	3.235502979548357	2.516329671851948	2.5865250011878214	2.831641936281097	2.44424431541762	2.759416119676163	2.4515699853550803	2.7765785286980154	2.313387616616347	2.7708294584787523	2.2916828830815907	2.871725023456883	2.928208870125075	2.856112316400332	2.5172514526732455	2.7740773108978445	2.488843164919869	3.1765366047897694	3.0002944992040734	3.0544639011100285	3.0905794178946246	3.0128597184167507	2.846800776006356	2.8943117711938195	3.7906191530436213	2.4677555645435842	2.7306207196083707	2.7380765078113907	2.1828654878415548
ENSG00000000419	3.77620597171021	3.6632225391619713	3.837795698769274	3.7724554640691954	3.951493398316849	3.9477781823338516	3.9951814921756768	3.6781760624366493	3.659689323809536	3.8852521853456987	3.6196395345987753	3.718439777193718	3.4366386019234976	3.599932056223403	4.026226881798723	3.9375781705900654	3.773735455575326	3.7219320316005704	3.9542813933977787	4.01010107988869	3.5255858385098167	3.8638104916295783	3.822454867773325	3.818470027503997	3.5833219092292237	3.688972388544507	3.9471622480978596	3.8032094145843467	3.6145361798432707	3.9831688799922853	3.838743875706926	3.6477679733070882	3.802668183040639	3.536673310476523	3.693886401779794	3.646117397539807	3.7387531677383437	3.7890202342198376	3.813594182312062
ENSG00000000457	4.157848250857776	4.652419021940466	3.75282491097555	4.35951574557406	4.425610959886236	4.980957364172882	4.849373981869346	4.873922328900649	4.510672960001594	4.6764609263470724	4.605258195658877	4.446619900692618	3.967966605555969	4.625311459020711	4.252546241510556	4.697661299292416	4.618219912306601	4.932704449639503	4.913191048387119	4.556187607130128	4.688026228167914	4.560583380860044	4.731869609053407	4.826857239539809	4.424558223080447	4.876152447784247	4.781889312124543	4.808006905833907	4.472240874355143	5.077275090415306	4.940715551884313	4.791722016973764	3.8861111520118055	4.675434709228317	4.564416871608959	4.748206801595111	4.6204964878364025	4.525417972416903	4.889428540910107
ENSG00000000460	4.23447774838594	4.479646797537741	4.236485637787707	4.504473701085824	4.343027572522313	4.308309730959806	4.398548085321977	3.855113531612222	3.974731082078053	4.497577890767844	4.590240535772446	4.07074779571789	4.355420106797901	4.506766797060508	3.8370149571209553	4.067405368254976	4.349272727518277	4.4073569359756135	4.211163148155219	4.5105087575666305	4.045217630113365	4.4434755701716	3.944974003520661	4.3104334668661535	4.297861396410063	4.116605531961065	4.124233749441327	4.570327694048877	4.006706856136668	4.915589144966878	4.518022791036608	4.366434437088809	3.825908155494904	4.012083958758389	3.718684410565754	3.702285865788461	4.13730581781777	4.4185683017512085	4.228207982389601
ENSG00000000938	0.8172615020848628	1.6404022675625642	1.0961557669322681	1.1772759907362533	1.4277902743471635	1.1392074214150822	0.5715020011013987	0.9590830846442402	0.5786793865183063	0.5033240535018253	1.1764887553367243	0.7138445693285278	1.0274269582085043	0.7445540002719058	0.8777462747940145	0.9105480000653072	0.5620086462832149	1.2849764817616673	1.3525717489976823	1.09798815535384	1.3510301606573614	0.6780203832461377	0.4243651055028365	1.5852414182555206	1.3428699216306534	1.1807599554025263	1.1174045431237565	0.8943590397279008	1.2493667379603286	1.3454517553258079	1.5106791977885838	0.9317500991217718	0.6475700112959855	0.781554721672792	2.0237132894850745	1.3336265293244463	0.5577476163617228	1.0770381501207547	1.1755951516022753
ENSG00000000971	2.1878536143455936	2.9045310545265144	3.4442707286582066	2.4570472743417753	2.7683181174533966	2.3202967829024277	1.8771099469683694	2.570033671152879	2.9531250504525928	3.006737561477341	2.331370466865779	2.765859853482112	2.91916464226822	3.10248167857868	2.8677928866317233	3.746549516496455	2.2771594319296935	3.151334868554133	2.7982024706360664	2.933513633612277	3.3223651396225273	2.9409868060238007	2.1685823347240474	3.7844856391443518	3.2168260925579477	2.7740773108978445	2.9913908410169574	2.849331848888745	3.303983436814135	3.3216425762346495	2.9699135121063014	2.5272806620592667	3.518770885782679	3.1954183983429987	2.973708166919279	2.829982378819381	1.996077437967427	3.1049241680765562	3.8883171386659945
ENSG00000001036	3.281153957151594	2.669344149048216	3.2422527662159877	2.9657041556842283	2.723993681095288	3.4088203705181472	3.160136381097227	3.4951683345970483	3.44223098106388	2.156747630406824	2.945716941247748	2.64186610637155	3.1596667132381926	2.9697542420869336	3.299888892194565	3.307889665102623	3.0452279402243563	3.2126083205439637	3.215094047184007	3.3513381694891042	2.7789061466409106	2.9998797794492136	3.154385437583661	2.731927710792131	2.610946236717628	3.347346222129854	3.060437794011574	2.801666002315313	3.3151181149499265	2.87056764719726	3.299413952762133	3.006084698983082	3.0247177733385744	3.1954183983429987	3.7268565884795697	3.5629024346636475	3.2630840127407197	3.1983217596953204	2.336842389620664
ENSG00000001084	5.470948045759096	5.0750636869651435	5.153705332030965	5.329382858569064	5.544748008534962	5.075870413838543	5.286695314810842	4.95046288640069	5.164814193281799	4.920433458912872	5.02712403306507	5.222248021962793	5.2370415173676514	4.852616603343618	5.420843326899199	5.454895645032675	5.471904607156846	5.025654930254297	5.093600172798769	5.312458239182349	4.999143794473222	5.3852969285925445	5.296529414397174	5.156508572851722	5.151130347578182	5.436433616516668	5.452414775580863	4.579778454396522	5.507690578639224	5.328179623463972	5.200954435314823	5.164566285456707	5.533631638985025	5.312997205646716	5.442258191526231	5.175667240343081	5.152128384381933	5.183725227309184	5.079337604769575
ENSG00000001167	5.262402483527722	5.5981753820223155	6.154336822522671	5.865975084234552	5.814719445600755	5.566388801373875	5.819999777604864	5.594328432025297	5.831064119283185	6.272000476654453	5.843211024060712	6.107226419473261	5.897110029818742	5.638986454879918	5.178376889596948	5.524931246257991	6.03555267978078	5.666663439815181	5.611904333785204	5.829004621327219	5.6511053506014735	6.070253976833658	5.199911677336392	5.3870751961235435	5.825279006562652	5.321844999369165	5.755426906311634	5.702064756650365	5.506476839357599	5.865891256421459	5.645309874028406	5.702925597067338	5.8755407067316465	5.468672480779257	5.746858512538683	5.887818297870691	5.734202164267634	5.463161941685991	5.940761142262086
ENSG00000001460	5.356345060562194	5.105590152448969	5.440294518419597	5.4256778629106925	5.38596957634079	5.460608069744442	5.52108096641332	5.438771740209729	5.44910411342994	5.068804432908985	4.918292373756031	5.480637737457669	5.430579179548774	5.255116423965791	5.068385386431356	5.410227209414797	5.45754088625248	5.467396803741201	5.510382177444587	5.250514232153284	5.060939929666052	5.468449024302901	5.242527755744493	5.338928225619123	5.40241149892568	5.496917580878722	5.111029778532014	5.209096615785974	5.148630001073259	4.987435712470017	5.063746142565369	5.0374364720062665	5.1749136733163175	5.1876818218147545	5.192744767841193	5.541681786851424	5.562333862519858	5.476541001790059	5.459364485244781
