C,lambda,gene_symbol,coefficient
0.001,1000.0,CMKLR1,0.0
0.001,1000.0,FZD5,0.0
0.001,1000.0,LYN,0.0
0.001,1000.0,MSR1,0.0
0.001,1000.0,NMI,0.0
0.001,1000.0,OPRK1,0.0
0.001,1000.0,TIMP1,0.0
0.001,1000.0,TLR3,0.0
0.0013433993325989001,744.3803013251688,CMKLR1,0.0
0.0013433993325989001,744.3803013251688,FZD5,0.0
0.0013433993325989001,744.3803013251688,LYN,0.0
0.0013433993325989001,744.3803013251688,MSR1,0.0
0.0013433993325989001,744.3803013251688,NMI,0.0
0.0013433993325989001,744.3803013251688,OPRK1,0.0
0.0013433993325989001,744.3803013251688,TIMP1,0.0
0.0013433993325989001,744.3803013251688,TLR3,0.0
0.0018047217668271701,554.1020330009492,CMKLR1,0.0
0.0018047217668271701,554.1020330009492,FZD5,0.0
0.0018047217668271701,554.1020330009492,LYN,0.0
0.0018047217668271701,554.1020330009492,MSR1,0.0
0.0018047217668271701,554.1020330009492,NMI,0.0
0.0018047217668271701,554.1020330009492,OPRK1,0.0
0.0018047217668271701,554.1020330009492,TIMP1,0.0
0.0018047217668271701,554.1020330009492,TLR3,0.0
0.0024244620170823282,412.4626382901352,CMKLR1,0.0
0.0024244620170823282,412.4626382901352,FZD5,0.0
0.0024244620170823282,412.4626382901352,LYN,0.0
0.0024244620170823282,412.4626382901352,MSR1,0.0
0.0024244620170823282,412.4626382901352,NMI,0.0
0.0024244620170823282,412.4626382901352,OPRK1,0.0
0.0024244620170823282,412.4626382901352,TIMP1,0.0
0.0024244620170823282,412.4626382901352,TLR3,0.0
0.0032570206556597828,307.029062975785,CMKLR1,0.0
0.0032570206556597828,307.029062975785,FZD5,0.0
0.0032570206556597828,307.029062975785,LYN,0.0
0.0032570206556597828,307.029062975785,MSR1,0.0
0.0032570206556597828,307.029062975785,NMI,0.0
0.0032570206556597828,307.029062975785,OPRK1,0.0
0.0032570206556597828,307.029062975785,TIMP1,0.0
0.0032570206556597828,307.029062975785,TLR3,0.0
0.004375479375074184,228.54638641349908,CMKLR1,0.0
0.004375479375074184,228.54638641349908,FZD5,0.0
0.004375479375074184,228.54638641349908,LYN,0.0
0.004375479375074184,228.54638641349908,MSR1,0.0
0.004375479375074184,228.54638641349908,NMI,0.0
0.004375479375074184,228.54638641349908,OPRK1,0.0
0.004375479375074184,228.54638641349908,TIMP1,0.0
0.004375479375074184,228.54638641349908,TLR3,0.0
0.0058780160722749115,170.12542798525894,CMKLR1,0.0
0.0058780160722749115,170.12542798525894,FZD5,0.0
0.0058780160722749115,170.12542798525894,LYN,0.0
0.0058780160722749115,170.12542798525894,MSR1,0.0
0.0058780160722749115,170.12542798525894,NMI,0.0
0.0058780160722749115,170.12542798525894,OPRK1,0.0
0.0058780160722749115,170.12542798525894,TIMP1,0.0
0.0058780160722749115,170.12542798525894,TLR3,0.0
0.007896522868499725,126.63801734674034,CMKLR1,0.0
0.007896522868499725,126.63801734674034,FZD5,0.0
0.007896522868499725,126.63801734674034,LYN,0.0
0.007896522868499725,126.63801734674034,MSR1,0.0
0.007896522868499725,126.63801734674034,NMI,0.0
0.007896522868499725,126.63801734674034,OPRK1,0.0
0.007896522868499725,126.63801734674034,TIMP1,0.0
0.007896522868499725,126.63801734674034,TLR3,0.0
0.010608183551394482,94.26684551178855,CMKLR1,0.0
0.010608183551394482,94.26684551178855,FZD5,0.0
0.010608183551394482,94.26684551178855,LYN,0.0
0.010608183551394482,94.26684551178855,MSR1,0.0
0.010608183551394482,94.26684551178855,NMI,0.0
0.010608183551394482,94.26684551178855,OPRK1,0.0
0.010608183551394482,94.26684551178855,TIMP1,0.0
