ensembl_id,gene_symbol,baseMean,log2FC,pvalue,padj
ENSG00000038945,MSR1,338.84555045095806,0.6333872451299055,6.688038480861669e-07,0.0005626790089059
ENSG00000102265,TIMP1,229.6997394611179,0.9678846005387988,3.106821114341182e-06,0.0013553219442691
ENSG00000082556,OPRK1,51.70136017292079,1.3961255612678187,9.826873354275378e-06,0.0028008062124567
ENSG00000254087,LYN,454.0543333585815,0.5263416474917153,0.0001188318708244,0.0120660447457346
ENSG00000163251,FZD5,1960.142190832407,0.5655683275871436,0.0003854725779855,0.0238335367968634
ENSG00000164342,TLR3,64.59146068983162,1.0729732652445565,0.0003902834158727,0.0240049776180516
ENSG00000124479,NDP,498.8608975736126,0.6353867868849622,0.0006014563113796,0.0303694109283618
ENSG00000123609,NMI,18.28376967145578,1.1165509145635315,0.0010966438727687,0.0407470657899274
ENSG00000258227,CLEC5A,49.30970138837176,0.8309324198688923,0.0011253399409909,0.0411640263818678
ENSG00000165168,CYBB,226.02792424350787,0.983728012685974,0.0013811384348256,0.0461148088155278
ENSG00000174600,CMKLR1,38.36679427746016,1.1161489771128663,0.0015129024798574,0.0486877646420799
