Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,gene_type
ENSG00000227232.5,0.10520614205833746,0.7618123881315773,3.221652271261066,0.2364663607327732,0.8130708074158223,0.9992961935682126,WASH7P,unprocessed_pseudogene
ENSG00000278267.1,0.08503438743751719,0.3514725800177945,3.255667591809622,0.10795714553353185,0.9140296863736469,0.9992961935682126,MIR6859-1,miRNA
ENSG00000243485.5,0.027586270696729632,-0.00919870559687323,3.293604993563903,-0.0027928988493910465,0.997771592025223,0.9992961935682126,MIR1302-2HG,lncRNA
ENSG00000238009.6,1.23697788847633,-4.033560289078822,3.1544203817406427,-1.278700934227752,0.2010023905931504,0.9992961935682126,ENSG00000238009,lncRNA
ENSG00000233750.3,0.027586270696729632,-0.00919870559687323,3.293604993563903,-0.0027928988493910465,0.997771592025223,0.9992961935682126,CICP27,processed_pseudogene
ENSG00000268903.1,4.2688154555862585,2.478226839734218,1.581440012109353,1.5670697723328213,0.11709838375744253,0.9992961935682126,ENSG00000268903,processed_pseudogene
ENSG00000269981.1,3.967186882322331,3.9417337619228676,1.9887887054472846,1.9819771457503121,0.04748179859904931,0.7798722810994536,ENSG00000269981,processed_pseudogene
ENSG00000241860.7,1.2452832031764183,0.353514999379029,1.2804300846055283,0.2760908257540192,0.7824783069159162,0.9992961935682126,ENSG00000241860,lncRNA
ENSG00000279928.2,0.9248705873951557,-0.40817004812848134,1.7816821079536667,-0.22909252234523533,0.8187970052337901,0.9992961935682126,DDX11L17,unprocessed_pseudogene
ENSG00000279457.4,2.216164023106454,-0.01066239361666602,1.2565679204934137,-0.008485330114490939,0.9932297673521546,0.9992961935682126,WASH9P,unprocessed_pseudogene
ENSG00000228463.10,0.8062995087669345,3.2806123908711293,2.2085888402806066,1.4853884666257386,0.13744094907572318,0.9992961935682126,ENSG00000228463,transcribed_processed_pseudogene
ENSG00000286448.1,0.4454065305392235,0.05854948729768492,2.8755323098193326,0.02036126914580332,0.9837551801843356,0.9992961935682126,ENSG00000286448,lncRNA
ENSG00000290385.1,1.132305183288834,1.3171125791495224,1.9944890123752197,0.660375951422758,0.509012600870276,0.9992961935682126,ENSG00000290385,lncRNA
ENSG00000278757.1,0.027586270696729632,-0.00919870559687323,3.293604993563903,-0.0027928988493910465,0.997771592025223,0.9992961935682126,U6,snRNA
ENSG00000230021.10,0.036367336147003895,-0.00919870559687323,3.293604993563903,-0.0027928988493910465,0.997771592025223,0.9992961935682126,ENSG00000230021,transcribed_processed_pseudogene
ENSG00000225972.1,5.922589256343415,-0.4650717841534394,0.5600856737024715,-0.8303582933644088,0.4063362386645817,0.9992961935682126,MTND1P23,unprocessed_pseudogene
ENSG00000225630.1,757.8187678654389,-0.20673434257100623,0.3739673248469987,-0.5528139193861055,0.5803908361396648,0.9992961935682126,MTND2P28,unprocessed_pseudogene
ENSG00000237973.1,91.3580851224963,-0.3188145702419085,0.3425483395413617,-0.9307141020411007,0.3520014730141191,0.9992961935682126,MTCO1P12,unprocessed_pseudogene
ENSG00000229344.1,7.549199676339621,-0.9468264596185221,0.6011557387999531,-1.5750102652410978,0.11525407511713819,0.9992961935682126,MTCO2P12,unprocessed_pseudogene
ENSG00000240409.1,2.6017314054472003,-0.6909935698069404,0.9891467696306168,-0.6985753692194561,0.4848174410415901,0.9992961935682126,MTATP8P1,unprocessed_pseudogene
ENSG00000248527.1,1886.0816034947798,0.5031075598026483,0.39161873854192913,1.2846871466769267,0.19890163160958307,0.9992961935682126,MTATP6P1,unprocessed_pseudogene
ENSG00000198744.5,10.742760606291752,-0.7276041488708893,0.45209840146042446,-1.609393323489957,0.10753036425595627,0.9992961935682126,MTCO3P12,unprocessed_pseudogene
ENSG00000291215.1,6.847896691011989,1.0974019279302063,1.1661765968219675,0.9410255109910591,0.3466917859657347,0.9992961935682126,ENSG00000291215,lncRNA
ENSG00000237491.10,3.431626174654356,-0.6501981133897531,1.5597431018641177,-0.41686231060273493,0.6767791225647366,0.9992961935682126,LINC01409,lncRNA
