category,path,status,expected_bytes,actual_bytes,expected_md5,actual_md5,sha256,note
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622742.fastq.gz,PASS,1834050468,1834050468,53e5f196ec176d0eb139b8be5c5ec68d,53e5f196ec176d0eb139b8be5c5ec68d,e0ff82bafb10a091fb904e74f1ff54e1c4884741bcc9f8222358f7d225ddb528,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622743.fastq.gz,PASS,1922077575,1922077575,2b144f86fe35edd90369e1312dc0b380,2b144f86fe35edd90369e1312dc0b380,3a013ec8314bea08916a19e26d4ec715ba824824e27d4929cf3f93bed2a1b2c4,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622744.fastq.gz,PASS,1986190761,1986190761,ca215e8e6c59f0bf2250f2c6bbac51b4,ca215e8e6c59f0bf2250f2c6bbac51b4,8eecb0477c3ac3115565511863a1578dc9752aaad4ca9e6a7b90b1eea143e192,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622745.fastq.gz,PASS,1858712191,1858712191,6863ba96783242e7a76fefb9f8c3c3af,6863ba96783242e7a76fefb9f8c3c3af,36e4bd9db51736c1cdc0f74e54173223358a6becbe67ee4d65d846555874cf04,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622746.fastq.gz,PASS,1931187893,1931187893,232cea7f45805ff883b1ae55d69498c9,232cea7f45805ff883b1ae55d69498c9,dcc537957b7801774f84855662fe2e25a779381c52b727690c577cb2f482e1e9,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622747.fastq.gz,PASS,2407910787,2407910787,cbb150f705f76b1c22e6604b0236b715,cbb150f705f76b1c22e6604b0236b715,864e0a8b91ba34cc2de26c7c79b13d9c6bcab1238cea3bf7c7f1469400abd8cf,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622748.fastq.gz,PASS,1989781831,1989781831,961aae49f50e7efa6ef25344b2c0c15e,961aae49f50e7efa6ef25344b2c0c15e,e273d21cc2388e3227529e0d60574bec800cd573b91c69d8dd451ef8862e5db1,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622749.fastq.gz,PASS,1747613057,1747613057,33dd17191dc38bed277b975a0b9495da,33dd17191dc38bed277b975a0b9495da,4166544d43f9ccf4d33ffc3d76374acedf51cd6b063db22bb7045f1166d9bdb3,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622750.fastq.gz,PASS,1800077452,1800077452,6cb5b86c3765171dd097673f7f9122e1,6cb5b86c3765171dd097673f7f9122e1,a698ab4fefab46fc12c7aa7a518077455bb946edfbf3677c86089058e9744552,GSE276892
FASTQ,analysis_data/independent_validation/raw_reads/GSE276892/SRR30622751.fastq.gz,PASS,1852410527,1852410527,5ab3e56e4f49cec8dace833df0e071f8,5ab3e56e4f49cec8dace833df0e071f8,372872d9b69ad2f926ec8fee6a8f8c97d11ff9de11a4ebcf724dc92982502089,GSE276892
